0,
geen toegevoegde waarde voor mij/ niet bijzonder,-
fijn sportmerk,+
slechte kwaliteit,-
mooie spullen,+
al jaren lang een constante factor,+
goed degelijk sportmerk,+
goede prijs kwaliteit verhouding,+
Sportief,+
schoenen die goed lopen en met een leuk design,+
Te groot merk op kleding,-
Zit lekker,+
duur,-
1,
mijn favoriete sportschoen,+
fijne sportkleding en schoenen,+
"groot bekend merk, maar niet meer zo groots als het ooit was",+
mooie sportkleding,+
vooral sportief karakter,=
Gamma voldoet niet (maten),-
het sportmerk,=
fijne sportkleding goede kwaliteit,+
goede sportkleding en schoenen,+
goedkoop spul voor een belachelijke prijs,-
2,
stabiel,+
over de top,-
sport,=
"Sportief, jong",+
obv beeld,=
stevig materiaal,+
te duur voor de gegeven kwaliteit,-
Goede sportspullen,+
sportieve en moderne kleding,+
te commercieel,-
running like the devil,=
3,
goeie leuke sportkleding,+
"duur, wordt op school gejat.",-
"zit lekker, vaak minder goede modellen voor mijn leeftijd",=
Zelf heb ik sportschoenen waarover ik tevreden ben,+
te duur,-
sportmerk,=
Multinational en agressief,-
knal goed,+
sportief merk,=
te duur,-
vertrouwd,+
goed sportmerk,+
mooie vormgeving en reclame,+
4,
topmerk en goede spullen,+
duur,-
geen interesse,=
sportief,+
netjes afwerking,+
goede sportkleding,+
zitten mij niet echt lekker,-
is niet mijn merk,-
goed imago,+
lopen prima,+
goed,+
"Zowel schoeisel als kleding zit altijd goed, is van goede kw",+
HEEL GOED,+
aardig merk maar duur,-
oogt fraai,+
