0,
mooi kleding,+
goede kwaliteit,+
"Netjes, mooi, goede kwaliteit",+
"Goed merk, mooie bloesjes",+
goed,+
Niet echt mijn merk,-
Merk van huidige bril.,=
duur maar modern,+
niet echt gekeken,=
Goede kwaliteit,+
"leuk, wel vaak klein (iemand mt 40 kan er vaak niet slagen)",+
goede kwaliteit,+
leuke casual kleding,+
Betaalbaar en goed,+
Zeer goed,+
jong merk,=
Goed,+
meer voor kinderen,=
Lekkere parfum.,+
"Leuke kleding, aan de dure kant, ken nog geen duistere zaken",+
"mooie kleding, sjiek",+
"nette kleding, niet zo bijzonder, betaalbaar",+
Te saai,-
Past mij niet,=
"Positief; leuke kleding, modern en goede kwaliteit",+
rijs/kwaliteit verhouding klopt niet altijd,-
mooie artikelen,+
niet alle kleding vind ik even mooi,-
Nooit van gehoort,=
Ouderwets,=
redelijk prijzig maar wel kwalitatief goed,+
mooie kleding,+
"duur, maar niet altijd goede kwaliteit",-
goede prijs/kwaliteit,+
leuke kleding,+
modieus,+
kwalitatief goed,+
Leuke nette keding,+
meestal leuke kleding,+
niet echt aan mij besteed,-
mooie kleren,+
saai,-
duur,-
leuk merk,+
"lekkere kleding, wordt steeds meer voor oudere mensen",+
Vooral leuke vrouwen kleding,+
niet mijn stijl,-
duur,-
nette kleding,+
draag dit merk niet,=
