0,
soms leuke kleding,=
gaat lang mee,+
Netjes,+
Goed merk,+
beter,+
Net merk,+
te veel strepen,-
geen mening,=
leuk merk,+
leuke casual kleding,+
Te duur voor de kwaliteit die ze aanbieden,-
"leuke spullen, iets te duur",-
goede kwaliteit,+
Pasvorm sluit niet bij me aan,-
mooie kleding,+
Koop hier wel leuke kleding van...,+
"Leuke kleding, aan de dure kant, ken nog geen duistere zaken",+
Vrij prijzig maar kwaliteit is echt super,+
"leuke kleding, goede kwaliteit voor een leuke prijs",+
heb ik niet,=
modern,=
"modern, goede kwaliteit",+
"nette kleding, niet zo bijzonder, betaalbaar",+
neutraal,=
Past mij niet,-
leuke kleren goede kwaliteit,+
"Degelijke kleding, beetje net niet.",=
gaat wel,=
goed draagbare kleding,+
casual stijl,=
af en toe leuke kleding,=
mooie kwaliteit en modieus,+
"ik heb veel kleding van esprit, mijn smaak en mijn prijsklas",+
"Niet echt speciaal, relatief saai",-
"leuk klassiek, mooi",+
kwalitatief goed,+
meestal leuke kleding,+
"niet mijn pasvorm en vaak te groot, wel kwaliteit",-
is wel ok,+
leuk maar duur,-
degelijke kleding,+
mooie kleren voor n goede prijs,+
saai,-
"Goed assortiment, goede kwaliteit",+
goede kwaliteit,+
ook niet mijn stijl,-
Saai,-
"goede kwaliteit, wel duur",=
draag dit merk niet,=
duur en valt klein uit,-
