0,
sportief,=
Onderbroekenmerk,=
duur,-
Hip 'underwear',+
hebben van degelijk merk toch wel hipper merk gemaakt,+
mooie reclame,+
prettig ondergoed,+
Duur,-
Komt goed en vriendelijk over,+
Goed,+
geen ervaring mee,=
Kwalitatief,+
ouderwets &amp; naakte reclames,=
ouderwets,=
"Grote onderbroeken, niet sexy",-
goede kwaliteit,+
Omaonderbroeken?,=
"vooral mooi onder werkkleding, maar erg lomp model.",-
"goede kwaliteit, maar niet stijlvol",+
voor ouderen,=
Lekker zittend.,+
goede kwaliteit prijs verhouding,+
Draag ik soms,=
Opzichte maar fraaie reclameborden,+
degelijk merk,+
prijs/kwaliteit verhouding klopt niet altijd,-
mooie vormgeving,+
niet mijn stijl,-
"tijdloos, kwaliteit blijft",+
niet zo mooi,-
Voor ouderen,=
ken ik eigenlijk niet goed,=
ken ik niet,=
"Degelijk, wat saai",=
fijn ondergoed,+
Rare billborardreclames,-
goed ondergoed,+
Ouderwets beeld,=
weet niet,=
"wel degelijl, niet zo mooi",-
mooie mannen op verpakking,+
duur,-
niet erg bekend mee,=
"zit goed, hoge taille, steeds leukere modellen",+
Ben er niet bekent mee maar ken wel mensen die het dragen,=
goede kwaliteit,+
oudbollig merk,=
duur,-
Degelijk,+
goed ondergoed,+
